distance, speed,  x_meas, y_meas, x_odom, y_odom, x_imu, time

1,0.2,1.326,0.274,0.971874,0.00341893,-3.41497,Tue Jul 26 14:13:27 2022

1,0.2,1.325,0.285,0.977404,0.00323094,1.71626,Tue Jul 26 14:15:30 2022

1,0.2,1.32,0.295,0.98183,0.00309472,1.41495,Tue Jul 26 14:16:55 2022

1,0.2,1.313,0.28,0.974672,0.00346372,-5.99553,Tue Jul 26 14:19:19 2022

1,0.2,1.321,0.286,0.979755,0.00416143,4.61574,Tue Jul 26 14:20:46 2022

1,0.2,1.516,0,0.983025,0.00393519,-0.225499,Tue Jul 26 14:23:05 2022

1,0.2,1.33,0.294,0.979757,0.0034193,0.71773,Tue Jul 26 14:26:43 2022

1,0.2,1.317,0.304,0.975655,0.00362109,-2.27096,Tue Jul 26 14:28:04 2022

1,0.2,1.326,0.296,0.979233,0.00279528,-0.745446,Tue Jul 26 14:29:24 2022

1,0.2,1.328,0.31,0.973352,0.00294916,2.16126,Tue Jul 26 14:31:02 2022

1,0.2,1.329,0.277,0.973522,0.00358999,-3.20911,Tue Jul 26 14:36:27 2022

1,0.2,1.327,0.284,0.974594,0.00314743,-0.441149,Tue Jul 26 14:37:50 2022

1,0.2,1.328,0.294,0.979198,0.00284753,0.161511,Tue Jul 26 14:39:12 2022

1,0.2,1.331,0.286,0.971254,0.00343984,2.39432,Tue Jul 26 14:40:47 2022

1,0.2,1.328,0.31,0.976288,0.00218808,1.01813,Tue Jul 26 14:42:06 2022

1,0.2,1.325,0.29,0.978441,0.00285988,3.77203,Tue Jul 26 14:43:32 2022

1,0.2,1.328,0.285,0.977075,0.00337462,5.1499,Tue Jul 26 14:44:44 2022

1,0.2,1.329,0.283,0.971018,0.00347728,2.05713,Tue Jul 26 14:46:01 2022

1,0.2,1.326,0.3,0.977121,0.00309041,3.53647,Tue Jul 26 14:46:59 2022

1,0.2,1.324,0.302,0.982247,0.00385137,-2.08389,Tue Jul 26 14:51:35 2022

1,0.2,1.327,0.301,0.97809,0.00328959,2.03396,Tue Jul 26 14:52:53 2022

1,0.2,1.332,0.305,0.982042,0.00322056,2.03633,Tue Jul 26 14:53:52 2022

1,0.2,1.326,0.296,0.973937,0.0035595,3.10979,Tue Jul 26 14:54:44 2022

1,0.2,1.332,0.311,0.981101,0.00315417,3.38023,Tue Jul 26 14:56:28 2022

1,0.2,1.326,0.286,0.97312,0.00395302,1.97279,Tue Jul 26 14:58:00 2022

1,0.2,1.324,0.288,0.976408,0.00413279,2.01184,Tue Jul 26 14:59:00 2022
NEUE WERTE ODOM RICHTIG:

1,0.2,1.327,0.296,1.00092,0.00324287,4.87699,Tue Jul 26 15:37:38 2022

1,0.2,1.325,0.291,1.0007,0.0031151,-1.09345,Tue Jul 26 15:39:04 2022

1,0.2,1.325,0.277,1.00461,0.00397335,18.0822,Tue Jul 26 15:40:14 2022

1,0.2,1.331,0.294,1.00495,0.00339727,5.33491,Tue Jul 26 15:44:23 2022

1,0.2,1.331,0.285,1.00465,0.00341314,-1.19862,Tue Jul 26 15:45:25 2022

1,0.2,1.322,0.281,1.00056,0.00353721,1.40082,Tue Jul 26 15:46:46 2022

1,0.2,1.33,0.28,1.00458,0.00355731,0.762997,Tue Jul 26 15:54:11 2022

1,0.2,1.332,0.299,1.00478,0.00328341,4.08621,Tue Jul 26 15:56:59 2022

1,0.2,1.326,0.291,1.00081,0.00362286,1.05943,Tue Jul 26 16:00:46 2022

1,0.2,1.323,0.296,0.996747,0.00358045,-2.71165,Tue Jul 26 16:02:02 2022

1,0.2,1.332,0.297,1.00475,0.00327616,1.83472,Tue Jul 26 16:03:32 2022

1,0.2,1.329,0.291,1.00478,0.00317426,-0.860509,Tue Jul 26 16:04:44 2022

1,0.2,1.328,0.309,1.00094,0.0027257,-1.28087,Tue Jul 26 16:05:55 2022

1,0.2,1.332,0.304,1.00477,0.00262876,-3.19063,Tue Jul 26 16:07:12 2022

1,0.2,1.326,0.285,1.00467,0.00354197,-0.367026,Tue Jul 26 16:08:29 2022

1,0.2,1.324,0.288,1.00077,0.00322128,2.75959,Tue Jul 26 16:09:46 2022

1,0.2,1.328,0.29,1.00459,0.00350234,5.9018,Tue Jul 26 16:11:21 2022

1,0.2,1.324,0.28,1.00054,0.00371251,5.64904,Tue Jul 26 16:12:57 2022

1,0.2,1.327,0.288,1.00474,0.00393999,5.12999,Tue Jul 26 16:14:00 2022

1,0.2,1.329,0.303,1.00482,0.00357346,2.03077,Tue Jul 26 16:14:57 2022

1,0.2,1.325,0.288,1.00073,0.00356228,1.37763,Tue Jul 26 16:15:58 2022

1,0.2,1.323,0.281,1.00062,0.00366896,1.91674,Tue Jul 26 16:16:55 2022

1,0.2,1.321,0.292,1.00055,0.00376535,-2.07013,Tue Jul 26 16:18:31 2022

1,0.2,1.323,0.288,1.00066,0.00418615,-0.197752,Tue Jul 26 16:19:28 2022

1,0.2,1.328,0.294,1.00474,0.00366081,2.92817,Tue Jul 26 16:20:23 2022

1,0.2,1.324,0.29,1.00069,0.00356478,5.33284,Tue Jul 26 16:21:31 2022

1,0.4,1.304,0.316,0.974929,0.00352706,1.22831,Tue Jul 26 16:23:17 2022

1,0.4,1.3,0.299,0.975058,0.00362371,3.17127,Tue Jul 26 16:24:55 2022

1,0.4,1.303,0.303,0.974901,0.00358073,0.26384,Tue Jul 26 16:25:59 2022

1,0.4,1.297,0.291,0.975071,0.0034532,1.24106,Tue Jul 26 16:27:04 2022

1,0.4,1.303,0.317,0.974956,0.00383442,0.0826647,Tue Jul 26 16:28:23 2022

1,0.4,1.303,0.306,0.974836,0.00343517,-1.80382,Tue Jul 26 16:29:54 2022

1,0.4,1.308,0.301,0.98275,0.00327667,2.74415,Tue Jul 26 16:30:54 2022

1,0.4,1.299,0.316,0.96704,0.0027979,1.80923,Tue Jul 26 16:35:16 2022

1,0.4,1.301,0.288,0.974893,0.00388482,1.46847,Tue Jul 26 16:36:05 2022

1,0.4,1.298,0.28,0.974962,0.00413656,0.694645,Tue Jul 26 16:37:47 2022

1,0.4,1.3,0.289,0.974807,0.00362286,1.46853,Tue Jul 26 16:39:08 2022

1,0.4,1.297,0.272,0.974842,0.0038442,-1.00452,Tue Jul 26 16:40:09 2022

1,0.4,1.297,0.265,0.974856,0.00397952,1.44691,Tue Jul 26 16:41:24 2022

1,0.4,1.297,0.278,0.974842,0.00397547,0.91929,Tue Jul 26 16:43:08 2022

1,0.4,1.295,0.278,0.974807,0.00378584,4.28195,Tue Jul 26 16:43:53 2022

1,0.4,1.3,0.272,0.974771,0.00396472,0.715736,Tue Jul 26 16:45:22 2022

1,0.4,1.295,0.278,0.966951,0.00388031,1.88619,Tue Jul 26 16:46:10 2022

1,0.4,1.299,0.25,0.974736,0.00369333,0.127972,Tue Jul 26 16:46:52 2022

1,0.4,1.3,0.263,0.974791,0.00396969,-3.90699,Tue Jul 26 16:47:35 2022

1,0.4,1.296,0.267,0.974921,0.003622,1.07998,Tue Jul 26 16:48:51 2022

1,0.4,1.299,0.266,0.974771,0.00385997,0.890215,Tue Jul 26 16:49:41 2022

1,0.1,1.293,0.273,0.969024,0.00322202,-0.249569,Wed Jul 27 10:43:06 2022

1,0.1,1.295,0.288,0.969314,0.00339859,-1.85708,Wed Jul 27 10:44:42 2022

1,0.1,1.291,0.279,0.969115,0.00327327,0.361698,Wed Jul 27 10:46:32 2022

1,0.1,1.289,0.276,0.967232,0.00319626,5.09359,Wed Jul 27 10:50:21 2022

1,0.1,1.295,0.287,0.96941,0.00264318,4.2025,Wed Jul 27 10:53:06 2022

1,0.1,1.293,0.29,0.968603,0.00289758,3.27017,Wed Jul 27 10:55:21 2022

1,0.1,1.293,0.293,0.969099,0.00353199,-0.185996,Wed Jul 27 10:57:01 2022

1,0.1,1.291,0.282,0.967197,0.00315232,5.04207,Wed Jul 27 10:58:50 2022

1,0.1,1.294,0.294,0.969222,0.00360936,7.87784,Wed Jul 27 11:00:27 2022

1,0.1,1.293,0.293,0.969066,0.00355028,3.84639,Wed Jul 27 11:02:12 2022

1,0.1,1.292,0.29,0.969244,0.00317144,2.93802,Wed Jul 27 11:03:36 2022

1,0.1,1.292,0.294,0.969122,0.00335009,0.171789,Wed Jul 27 11:09:00 2022

1,0.1,1.292,0.295,0.969466,0.00344312,7.82974,Wed Jul 27 11:10:46 2022

1,0.1,1.3,0.297,0.968923,0.00326731,3.99091,Wed Jul 27 11:12:05 2022

1,0.1,1.298,0.289,0.969266,0.00358444,1.46455,Wed Jul 27 11:14:09 2022

1,0.1,1.298,0.29,0.969043,0.00348269,3.29087,Wed Jul 27 11:16:09 2022

1,0.1,1.299,0.296,0.9711,0.00320954,4.3707,Wed Jul 27 11:17:54 2022

1,0.1,1.301,0.295,0.969209,0.00318715,-0.885398,Wed Jul 27 11:19:31 2022

1,0.1,1.298,0.29,0.969028,0.00332614,-1.8938,Wed Jul 27 11:20:55 2022

1,0.1,1.302,0.296,0.969131,0.00290856,5.91866,Wed Jul 27 11:22:30 2022

1,0.1,1.3,0.293,0.968816,0.00319847,3.92641,Wed Jul 27 11:24:18 2022

1,0.8,1.301,0.293,0.966209,0.00365483,-0.0401612,Wed Jul 27 11:26:03 2022

1,0.8,1.298,0.293,0.966136,0.00409224,-0.76298,Wed Jul 27 11:27:45 2022

1,0.8,1.282,0.3,0.950065,0.00325783,0.821705,Wed Jul 27 11:29:18 2022

1,0.8,1.301,0.3,0.966222,0.00403338,1.33365,Wed Jul 27 11:30:46 2022

1,0.8,1.281,0.299,0.950096,0.00424061,0.751449,Wed Jul 27 11:32:24 2022

1,0.8,1.284,0.292,0.950151,0.00457413,0.520852,Wed Jul 27 11:33:54 2022

1,0.8,1.3,0.298,0.966029,0.00416682,-0.462136,Wed Jul 27 11:35:01 2022

1,0.8,1.304,0.299,0.965995,0.00387264,1.4728,Wed Jul 27 11:39:26 2022

1,0.8,1.252,0.289,0.917948,0.00396341,-1.07374,Wed Jul 27 11:41:29 2022

1,0.8,1.301,0.296,0.966191,0.00460887,1.07146,Wed Jul 27 11:43:00 2022

1,0.8,1.303,0.303,0.966031,0.00376447,0.521228,Wed Jul 27 11:45:00 2022

1,0.8,1.301,0.288,0.965976,0.00480663,0.91526,Wed Jul 27 11:47:09 2022

1,0.8,1.282,0.282,0.950046,0.00431533,0.892832,Wed Jul 27 11:49:44 2022

1,0.8,1.304,0.3,0.966217,0.00495115,3.99851,Wed Jul 27 11:51:56 2022

1,0.8,1.3,0.295,0.966107,0.00429616,-1.08225,Wed Jul 27 11:53:41 2022

1,0.8,1.285,0.295,0.950061,0.00426105,1.08672,Wed Jul 27 11:55:00 2022

1,0.8,1.304,0.298,0.966135,0.0043911,0.72212,Wed Jul 27 11:56:02 2022

1,0.8,1.301,0.287,0.966072,0.00433614,-0.349257,Wed Jul 27 11:57:32 2022

1,0.8,1.3,0.286,0.966053,0.00502592,-0.823855,Wed Jul 27 11:58:45 2022

1,0.8,1.3,0.291,0.966219,0.0047026,0.0329758,Wed Jul 27 11:59:57 2022

1,0.8,1.299,0.292,0.966107,0.00439638,0.112899,Wed Jul 27 12:01:00 2022

1,0.6,1.338,0.276,1.005,0.004306,1.60003,Wed Jul 27 13:24:00 2022

1,0.6,1.338,0.294,1.00467,0.00449553,0.858831,Wed Jul 27 13:24:48 2022

1,0.6,1.342,0.306,1.00459,0.00399252,-0.542674,Wed Jul 27 13:30:34 2022

1,0.6,1.343,0.301,1.00465,0.00379594,-0.0666926,Wed Jul 27 13:31:50 2022

1,0.6,1.342,0.301,1.00464,0.00362901,0.258047,Wed Jul 27 13:33:26 2022

1,0.6,1.342,0.307,1.00463,0.00295454,-2.54004,Wed Jul 27 13:35:19 2022

1,0.6,1.343,0.302,1.00464,0.00383042,-0.115702,Wed Jul 27 13:36:27 2022

1,0.6,1.34,0.295,1.00456,0.00415774,0.711391,Wed Jul 27 13:37:57 2022

